2020-08-25 15:44:16.783|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 15:44:16.786|DEBUG|(0.001) SELECT VERSION(); args=None
2020-08-25 15:44:17.895|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 15:44:17.946|DEBUG|(0.048) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 15:47:33.675|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 15:47:33.676|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 15:47:34.395|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 15:47:34.398|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:08:46.835|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:08:46.835|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:08:47.656|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:08:47.660|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:09:22.203|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:09:22.211|DEBUG|(0.006) SELECT VERSION(); args=None
2020-08-25 16:09:22.965|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:09:22.969|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:09:30.238|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:09:30.238|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:09:30.948|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:09:30.952|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:12:38.609|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:12:38.623|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:12:39.664|DEBUG|(0.003) SHOW FULL TABLES; args=None
